,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
215,Eastlake,47.64219980770673,-122.325461088481,SUBWAY,47.63949436064515,-122.3254724871025,Sandwich Place
216,Eastlake,47.64219980770673,-122.325461088481,Pomodoro Restaurant,47.64168195019798,-122.32587890800667,Italian Restaurant
217,Eastlake,47.64219980770673,-122.325461088481,Pecado Bueno,47.641152320787086,-122.32576924101521,Mexican Restaurant
218,Eastlake,47.64219980770673,-122.325461088481,Eastlake Market,47.63957633787293,-122.32578486252449,Sandwich Place
219,Eastlake,47.64219980770673,-122.325461088481,14 Carrot Taco Stand,47.639967,-122.325806,Taco Place
220,Eastlake,47.64219980770673,-122.325461088481,Eastlake Boulodrome Park,47.642049,-122.329641,Park
221,Eastlake,47.64219980770673,-122.325461088481,Salee Thai,47.641151,-122.320328,Thai Restaurant
222,Eastlake,47.64219980770673,-122.325461088481,Copper Tree Cafe,47.641655,-122.320006,Coffee Shop
223,Eastlake,47.64219980770673,-122.325461088481,Lynn Street Mini Park,47.63976515530511,-122.32966511782674,Park
224,Eastlake,47.64219980770673,-122.325461088481,Armistice Coffee Roasters,47.63833414423538,-122.32600422798004,Coffee Shop
225,Eastlake,47.64219980770673,-122.325461088481,Metro Bus Stop (Eastlake & Bostom),47.638,-122.32579814,Bus Stop
226,Eastlake,47.64219980770673,-122.325461088481,Houseboats - Seattle,47.639686448344236,-122.33078273901914,Harbor / Marina
227,South Lake Union,47.62409435738327,-122.33569314486188,Cherry Street Coffee,47.62329131278738,-122.33423365636378,Coffee Shop
228,South Lake Union,47.62409435738327,-122.33569314486188,Bar Harbor,47.62227573747293,-122.33430256960541,Bar
229,South Lake Union,47.62409435738327,-122.33569314486188,Community Banana Stand,47.62252849539183,-122.33611593708848,Food Truck
